               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021198,            0.040296,            0.002124,             0.99804,             0.99909,             0.99489,             0.94546,            0.013212,            0.034573,           0.0017708,           0.0082675,           0.0082675,           0.0082675
                  37,            0.021508,            0.041233,           0.0021234,              0.9985,             0.99886,             0.99493,             0.94491,            0.012736,            0.033975,           0.0017552,            0.008218,            0.008218,            0.008218
                  38,               0.021,             0.04036,           0.0020843,             0.99823,             0.99926,             0.99495,             0.94629,            0.012688,            0.033503,           0.0017717,           0.0081685,           0.0081685,           0.0081685
                  39,            0.020972,            0.040724,           0.0020616,             0.99854,             0.99867,             0.99497,              0.9449,            0.012749,            0.033791,           0.0016661,            0.008119,            0.008119,            0.008119
                  40,            0.020747,            0.040175,           0.0020609,             0.99895,             0.99869,             0.99498,             0.94244,            0.012884,            0.033943,           0.0016417,           0.0080695,           0.0080695,           0.0080695
                  41,            0.020798,            0.040405,           0.0020544,             0.99884,             0.99898,             0.99497,             0.94626,            0.012585,            0.033435,           0.0017449,             0.00802,             0.00802,             0.00802
                  42,            0.020976,            0.040271,           0.0020217,             0.99916,             0.99851,             0.99499,             0.94446,            0.012747,            0.033897,           0.0016415,           0.0079705,           0.0079705,           0.0079705
                  43,            0.020594,            0.038934,           0.0019833,             0.99854,             0.99933,             0.99488,             0.94792,            0.012363,            0.033179,           0.0016276,            0.007921,            0.007921,            0.007921
                  44,            0.020153,            0.038617,            0.001957,             0.99853,             0.99894,             0.99487,             0.94271,            0.012584,            0.033488,           0.0016207,           0.0078715,           0.0078715,           0.0078715
                  45,            0.020075,             0.03885,           0.0019803,             0.99914,             0.99902,             0.99499,             0.95017,            0.012587,            0.032855,           0.0015611,            0.007822,            0.007822,            0.007822
